Distance between particles 	 RDF
    0.02	       0
    0.06	       0
     0.1	       0
    0.14	       0
    0.18	       0
    0.22	       0
    0.26	       0
     0.3	       0
    0.34	       0
    0.38	       0
    0.42	       0
    0.46	       0
     0.5	       0
    0.54	       0
    0.58	       0
    0.62	       0
    0.66	       0
     0.7	       0
    0.74	       0
    0.78	       0
    0.82	       0
    0.86	       0
     0.9	       0
    0.94	       0
    0.98	       0
    1.02	       0
    1.06	1.48255e-07
     1.1	9.55223e-08
    1.14	5.25769e-09
    1.18	       0
    1.22	       0
    1.26	       0
     1.3	       0
    1.34	1.95087e-08
    1.38	8.89019e-08
    1.42	3.88893e-08
    1.46	4.07465e-09
     1.5	       0
    1.54	       0
    1.58	       0
    1.62	       0
    1.66	       0
     1.7	       0
    1.74	       0
    1.78	       0
    1.82	       0
    1.86	       0
     1.9	       0
    1.94	       0
    1.98	       0
    2.02	1.3115e-09
    2.06	6.10159e-09
     2.1	2.29254e-08
    2.14	5.90293e-08
    2.18	3.68999e-08
    2.22	       0
    2.26	5.64171e-11
     2.3	1.02718e-09
    2.34	5.0295e-09
    2.38	2.01669e-08
    2.42	3.53705e-08
    2.46	1.69923e-08
     2.5	1.30346e-08
    2.54	4.43455e-09
    2.58	9.83309e-10
    2.62	9.29526e-10
    2.66	2.61807e-10
     2.7	9.31728e-10
    2.74	4.11786e-09
    2.78	8.74615e-09
    2.82	4.22919e-09
    2.86	6.03925e-10
     2.9	1.46845e-11
    2.94	3.33378e-11
    2.98	1.90058e-10
    3.02	9.92986e-11
    3.06	4.83598e-11
     3.1	1.75629e-10
    3.14	3.75767e-10
    3.18	5.57701e-10
    3.22	5.71723e-10
    3.26	4.37702e-10
     3.3	3.37188e-09
    3.34	1.19487e-08
    3.38	2.1955e-08
    3.42	1.27477e-08
    3.46	1.37545e-09
     3.5	8.73722e-11
    3.54	1.54393e-10
    3.58	6.10273e-11
    3.62	1.06807e-10
    3.66	6.76078e-11
     3.7	1.59371e-10
    3.74	5.09143e-10
    3.78	1.79202e-09
    3.82	5.27253e-09
    3.86	8.42403e-09
     3.9	3.98667e-09
    3.94	5.25061e-10
    3.98	1.40335e-10
    4.02	2.31807e-10
    4.06	2.59728e-10
     4.1	5.28961e-10
    4.14	6.50888e-10
    4.18	1.37358e-09
    4.22	3.17845e-09
    4.26	5.55756e-09
     4.3	5.87098e-09
    4.34	8.26133e-10
    4.38	9.65611e-11
    4.42	2.42321e-10
    4.46	3.14566e-10
     4.5	3.21196e-10
    4.54	4.27405e-10
    4.58	3.06148e-10
    4.62	2.7194e-10
    4.66	3.35536e-10
     4.7	2.49717e-10
    4.74	3.48125e-10
    4.78	3.3872e-10
    4.82	4.64243e-10
    4.86	1.03701e-09
     4.9	1.88942e-09
    4.94	2.56743e-09
    4.98	1.31131e-09
    5.02	7.59598e-10
    5.06	5.06463e-10
     5.1	3.95675e-10
    5.14	6.10799e-10
    5.18	2.62346e-10
    5.22	4.15461e-10
    5.26	3.51139e-10
     5.3	7.21028e-10
    5.34	3.82562e-10
    5.38	2.68804e-10
    5.42	2.74661e-10
    5.46	1.28421e-10
     5.5	1.53777e-10
    5.54	3.72876e-10
    5.58	2.63102e-10
    5.62	3.57122e-10
    5.66	3.62372e-10
     5.7	5.35957e-10
    5.74	4.38553e-10
    5.78	4.48523e-10
    5.82	2.26051e-10
    5.86	2.21777e-10
     5.9	1.73841e-10
    5.94	4.79521e-10
    5.98	7.40198e-10
    6.02	4.81628e-10
    6.06	2.17468e-10
     6.1	1.33864e-10
    6.14	2.40229e-10
    6.18	5.09828e-10
    6.22	3.84119e-10
    6.26	3.43509e-10
     6.3	2.99748e-10
    6.34	4.81347e-10
    6.38	5.32977e-10
    6.42	3.06625e-10
    6.46	4.10363e-10
     6.5	3.70251e-10
    6.54	2.44466e-10
    6.58	3.74614e-10
    6.62	3.54132e-10
    6.66	3.87942e-10
     6.7	5.60314e-10
    6.74	4.09598e-10
    6.78	4.37914e-10
    6.82	2.61092e-10
    6.86	3.95394e-10
     6.9	3.70936e-10
    6.94	4.20519e-10
    6.98	4.49511e-10
    7.02	3.09913e-10
    7.06	5.74004e-10
     7.1	3.81364e-10
    7.14	4.23938e-10
    7.18	4.5596e-10
    7.22	5.19626e-10
    7.26	4.84237e-10
     7.3	3.80066e-10
    7.34	3.69058e-10
    7.38	4.65594e-10
    7.42	2.6095e-10
    7.46	4.73415e-10
     7.5	3.11765e-10
    7.54	4.34459e-10
    7.58	3.91912e-10
    7.62	3.1053e-10
    7.66	3.94994e-10
     7.7	3.95761e-10
    7.74	4.5971e-10
    7.78	3.72021e-10
    7.82	2.83406e-10
    7.86	3.99137e-10
     7.9	5.65943e-10
    7.94	3.72198e-10
    7.98	4.96473e-10
    8.02	4.27531e-10
    8.06	5.56371e-10
     8.1	3.72697e-10
    8.14	2.9014e-10
    8.18	3.53754e-10
    8.22	4.3074e-10
    8.26	5.89487e-10
     8.3	4.72672e-10
    8.34	4.3323e-10
    8.38	5.27587e-10
    8.42	5.42909e-10
    8.46	4.98676e-10
     8.5	5.36157e-10
    8.54	5.46386e-10
    8.58	5.60316e-10
    8.62	5.25765e-10
    8.66	4.63832e-10
     8.7	4.14979e-10
    8.74	5.56695e-10
    8.78	5.31876e-10
    8.82	5.84214e-10
    8.86	7.18969e-10
     8.9	5.90389e-10
    8.94	4.98071e-10
    8.98	3.90014e-10
    9.02	7.30624e-10
    9.06	5.42137e-10
     9.1	6.11949e-10
    9.14	5.95764e-10
    9.18	4.03003e-10
    9.22	5.11378e-10
    9.26	5.18492e-10
     9.3	4.48358e-10
    9.34	5.75713e-10
    9.38	5.41805e-10
    9.42	5.74327e-10
    9.46	5.3544e-10
     9.5	5.80659e-10
    9.54	4.98906e-10
    9.58	6.82242e-10
    9.62	6.10301e-10
    9.66	4.43797e-10
     9.7	4.82146e-10
    9.74	5.6498e-10
    9.78	4.82037e-10
    9.82	6.36495e-10
    9.86	6.1144e-10
     9.9	5.61147e-10
    9.94	4.49145e-10
    9.98	5.75745e-10
   10.02	5.58857e-10
   10.06	5.75573e-10
    10.1	5.46407e-10
   10.14	5.62123e-10
   10.18	6.74898e-10
   10.22	6.80661e-10
   10.26	5.9285e-10
    10.3	5.64972e-10
   10.34	6.40697e-10
   10.38	6.85056e-10
   10.42	5.99048e-10
   10.46	5.06433e-10
    10.5	6.95624e-10
   10.54	7.01841e-10
   10.58	6.19682e-10
   10.62	6.15023e-10
   10.66	5.87593e-10
    10.7	6.68065e-10
   10.74	4.49679e-10
   10.78	4.87086e-10
   10.82	6.10781e-10
   10.86	6.41195e-10
    10.9	7.43908e-10
   10.94	6.19813e-10
   10.98	5.89013e-10
   11.02	5.14914e-10
   11.06	5.50571e-10
    11.1	5.91381e-10
   11.14	6.64101e-10
   11.18	7.12382e-10
   11.22	6.00054e-10
   11.26	7.12036e-10
    11.3	6.31242e-10
   11.34	6.58809e-10
   11.38	7.13628e-10
   11.42	6.92855e-10
   11.46	5.05285e-10
    11.5	5.71501e-10
   11.54	5.74656e-10
   11.58	6.43757e-10
   11.62	5.39027e-10
   11.66	5.52291e-10
    11.7	5.28974e-10
   11.74	6.01837e-10
   11.78	6.92983e-10
   11.82	5.88415e-10
   11.86	6.50302e-10
    11.9	6.87798e-10
   11.94	5.44017e-10
   11.98	5.46988e-10
   12.02	5.3623e-10
   12.06	5.59001e-10
    12.1	5.32537e-10
   12.14	7.08916e-10
   12.18	5.64135e-10
   12.22	4.64513e-10
   12.26	5.07499e-10
    12.3	5.40665e-10
   12.34	5.35543e-10
   12.38	4.92605e-10
   12.42	5.93515e-10
   12.46	5.974e-10
    12.5	6.77628e-10
   12.54	5.83258e-10
   12.58	6.3236e-10
   12.62	5.33238e-10
   12.66	6.25934e-10
    12.7	5.81926e-10
   12.74	6.02626e-10
   12.78	5.82225e-10
   12.82	5.98134e-10
   12.86	5.84462e-10
    12.9	5.55364e-10
   12.94	5.92501e-10
   12.98	6.387e-10
   13.02	6.99862e-10
   13.06	5.71043e-10
    13.1	5.63483e-10
   13.14	5.91291e-10
   13.18	6.91978e-10
   13.22	6.27026e-10
   13.26	5.68931e-10
    13.3	5.45965e-10
   13.34	5.63284e-10
   13.38	5.00595e-10
   13.42	5.11102e-10
   13.46	5.73054e-10
    13.5	6.18453e-10
   13.54	6.83065e-10
   13.58	6.57841e-10
   13.62	5.63664e-10
   13.66	5.48454e-10
    13.7	6.08862e-10
   13.74	5.54515e-10
   13.78	6.32814e-10
   13.82	6.33251e-10
   13.86	6.00672e-10
    13.9	4.5958e-10
   13.94	6.24938e-10
   13.98	6.84557e-10
   14.02	5.47876e-10
   14.06	5.62672e-10
    14.1	5.71079e-10
   14.14	5.39028e-10
   14.18	5.32306e-10
   14.22	6.44951e-10
   14.26	7.294e-10
    14.3	5.80985e-10
   14.34	5.38711e-10
   14.38	5.30741e-10
   14.42	5.58091e-10
   14.46	5.36107e-10
    14.5	6.17737e-10
   14.54	6.31868e-10
   14.58	5.49589e-10
   14.62	5.62956e-10
   14.66	5.29433e-10
    14.7	6.69624e-10
   14.74	6.09343e-10
   14.78	5.33308e-10
   14.82	6.54888e-10
   14.86	6.04202e-10
    14.9	5.8038e-10
   14.94	5.63075e-10
   14.98	6.02449e-10
   15.02	6.33914e-10
   15.06	5.63939e-10
    15.1	6.15841e-10
   15.14	6.25881e-10
   15.18	6.42595e-10
   15.22	4.94922e-10
   15.26	6.56382e-10
    15.3	6.48734e-10
   15.34	5.24471e-10
   15.38	5.37409e-10
   15.42	5.37049e-10
   15.46	6.04717e-10
    15.5	5.72985e-10
   15.54	6.19304e-10
   15.58	4.9877e-10
   15.62	5.61684e-10
   15.66	5.516e-10
    15.7	6.75387e-10
   15.74	7.37924e-10
   15.78	6.836e-10
   15.82	6.92813e-10
   15.86	6.19768e-10
    15.9	5.92555e-10
   15.94	5.54264e-10
   15.98	6.42092e-10
   16.02	5.48582e-10
   16.06	6.27571e-10
    16.1	6.99576e-10
   16.14	6.67509e-10
   16.18	6.61068e-10
   16.22	6.92549e-10
   16.26	5.87004e-10
    16.3	5.99001e-10
   16.34	6.46489e-10
   16.38	5.72144e-10
   16.42	5.39128e-10
   16.46	6.00783e-10
    16.5	5.41624e-10
   16.54	5.99048e-10
   16.58	5.77143e-10
   16.62	5.48586e-10
   16.66	5.73096e-10
    16.7	5.984e-10
   16.74	5.58818e-10
   16.78	6.39346e-10
   16.82	6.18993e-10
   16.86	5.94771e-10
    16.9	5.55638e-10
   16.94	5.75682e-10
   16.98	6.60925e-10
   17.02	6.39064e-10
   17.06	6.77231e-10
    17.1	5.9551e-10
   17.14	6.31548e-10
   17.18	5.51342e-10
   17.22	5.80575e-10
   17.26	5.47072e-10
    17.3	6.63523e-10
   17.34	5.88038e-10
   17.38	6.09729e-10
   17.42	5.93774e-10
   17.46	7.10969e-10
    17.5	5.85803e-10
   17.54	5.5664e-10
   17.58	6.07923e-10
   17.62	5.71089e-10
   17.66	5.94112e-10
    17.7	6.26776e-10
   17.74	5.91905e-10
   17.78	5.65935e-10
   17.82	6.09807e-10
   17.86	5.63329e-10
    17.9	6.45482e-10
   17.94	6.37363e-10
   17.98	5.74553e-10
   18.02	6.88257e-10
   18.06	6.93163e-10
    18.1	6.34689e-10
   18.14	5.76723e-10
   18.18	5.93867e-10
   18.22	6.59342e-10
   18.26	6.73988e-10
    18.3	6.76945e-10
   18.34	5.59807e-10
   18.38	6.71065e-10
   18.42	6.95453e-10
   18.46	6.26846e-10
    18.5	5.83724e-10
   18.54	5.89352e-10
   18.58	4.74486e-10
   18.62	5.18756e-10
   18.66	6.52614e-10
    18.7	5.84843e-10
   18.74	4.97481e-10
   18.78	4.93614e-10
   18.82	6.22504e-10
   18.86	6.21602e-10
    18.9	5.6308e-10
   18.94	6.84413e-10
   18.98	6.2108e-10
   19.02	6.82651e-10
   19.06	6.13045e-10
    19.1	6.1962e-10
   19.14	5.49722e-10
   19.18	6.10993e-10
   19.22	5.66774e-10
   19.26	5.95274e-10
    19.3	6.39115e-10
   19.34	6.11161e-10
   19.38	5.72032e-10
   19.42	5.93801e-10
   19.46	6.00494e-10
    19.5	5.91754e-10
   19.54	6.57582e-10
   19.58	5.89827e-10
   19.62	5.23902e-10
   19.66	5.62138e-10
    19.7	6.13743e-10
   19.74	6.27739e-10
   19.78	5.86903e-10
   19.82	4.78486e-10
   19.86	5.43254e-10
    19.9	5.69659e-10
   19.94	6.10861e-10
   19.98	5.05296e-10
   20.02	5.55147e-10
   20.06	5.25826e-10
    20.1	5.63372e-10
   20.14	5.88234e-10
   20.18	5.80951e-10
   20.22	5.55899e-10
   20.26	5.25725e-10
    20.3	5.26552e-10
   20.34	5.03588e-10
   20.38	5.34915e-10
   20.42	5.59971e-10
   20.46	5.09302e-10
    20.5	5.74025e-10
   20.54	4.77924e-10
   20.58	4.6421e-10
   20.62	4.80419e-10
   20.66	4.62647e-10
    20.7	4.03025e-10
   20.74	4.7545e-10
   20.78	4.5751e-10
   20.82	4.76172e-10
   20.86	4.20517e-10
    20.9	4.61036e-10
   20.94	4.3036e-10
   20.98	4.44807e-10
   21.02	4.12835e-10
   21.06	4.13682e-10
    21.1	4.12762e-10
   21.14	4.6076e-10
   21.18	3.86983e-10
   21.22	3.42192e-10
   21.26	4.34261e-10
    21.3	4.42431e-10
   21.34	4.29293e-10
   21.38	3.85811e-10
   21.42	4.17928e-10
   21.46	3.96259e-10
    21.5	3.85257e-10
   21.54	3.95362e-10
   21.58	4.30052e-10
   21.62	3.94202e-10
   21.66	3.66337e-10
    21.7	3.96634e-10
   21.74	3.62165e-10
   21.78	3.46343e-10
   21.82	3.55018e-10
   21.86	3.17883e-10
    21.9	3.1801e-10
   21.94	2.85295e-10
   21.98	3.00788e-10
   22.02	3.14723e-10
   22.06	2.92773e-10
    22.1	3.23743e-10
   22.14	3.24674e-10
   22.18	3.40156e-10
   22.22	3.51773e-10
   22.26	3.14536e-10
    22.3	2.88244e-10
   22.34	3.39013e-10
   22.38	2.94241e-10
   22.42	3.27507e-10
   22.46	3.47804e-10
    22.5	3.11765e-10
   22.54	3.1544e-10
   22.58	2.72339e-10
   22.62	2.71939e-10
   22.66	2.35624e-10
    22.7	2.58602e-10
   22.74	2.29273e-10
   22.78	2.65912e-10
   22.82	2.77707e-10
   22.86	3.27389e-10
    22.9	3.2083e-10
   22.94	2.47978e-10
   22.98	2.77674e-10
   23.02	2.95664e-10
   23.06	3.05787e-10
    23.1	2.83282e-10
   23.14	2.40404e-10
   23.18	2.05328e-10
   23.22	2.49058e-10
   23.26	2.06886e-10
    23.3	2.69796e-10
   23.34	2.31994e-10
   23.38	2.54698e-10
   23.42	2.08797e-10
   23.46	2.36508e-10
    23.5	2.3138e-10
   23.54	2.35201e-10
   23.58	2.41659e-10
   23.62	2.26379e-10
   23.66	2.38042e-10
    23.7	2.66482e-10
   23.74	2.21759e-10
   23.78	2.29458e-10
   23.82	2.71204e-10
   23.86	2.66174e-10
    23.9	2.0907e-10
   23.94	2.19075e-10
   23.98	2.35311e-10
   24.02	2.42662e-10
   24.06	2.48185e-10
    24.1	1.84068e-10
   24.14	1.86214e-10
   24.18	1.74966e-10
   24.22	2.10951e-10
   24.26	2.0466e-10
    24.3	1.98479e-10
   24.34	1.76356e-10
   24.38	1.84228e-10
   24.42	2.0247e-10
   24.46	2.0346e-10
    24.5	2.15141e-10
   24.54	2.41168e-10
   24.58	2.34456e-10
   24.62	2.41233e-10
   24.66	1.65784e-10
    24.7	1.57353e-10
   24.74	1.88119e-10
   24.78	2.12452e-10
   24.82	1.90116e-10
   24.86	2.01628e-10
    24.9	1.798e-10
   24.94	1.58509e-10
   24.98	1.5589e-10
   25.02	1.66177e-10
   25.06	1.56798e-10
    25.1	1.65773e-10
   25.14	1.61859e-10
   25.18	1.8381e-10
   25.22	1.6174e-10
   25.26	1.79099e-10
    25.3	1.54416e-10
   25.34	1.40401e-10
   25.38	1.7856e-10
   25.42	1.73921e-10
   25.46	1.35906e-10
    25.5	1.23388e-10
   25.54	1.54683e-10
   25.58	1.48286e-10
   25.62	1.33712e-10
   25.66	1.23792e-10
    25.7	1.25339e-10
   25.74	1.27124e-10
   25.78	1.21899e-10
   25.82	1.37576e-10
   25.86	1.27486e-10
    25.9	1.01012e-10
   25.94	1.22174e-10
   25.98	1.29422e-10
   26.02	1.20086e-10
   26.06	1.24931e-10
    26.1	9.78378e-11
   26.14	1.06335e-10
   26.18	8.99732e-11
   26.22	7.66453e-11
   26.26	1.09424e-10
    26.3	9.83194e-11
   26.34	1.0526e-10
   26.38	1.11921e-10
   26.42	1.09341e-10
   26.46	1.02543e-10
    26.5	8.9103e-11
   26.54	7.64446e-11
   26.58	9.45691e-11
   26.62	8.78368e-11
   26.66	9.4987e-11
    26.7	7.63973e-11
   26.74	1.17909e-10
   26.78	7.98448e-11
   26.82	7.46278e-11
   26.86	7.50334e-11
    26.9	6.01896e-11
   26.94	6.17694e-11
   26.98	9.52921e-11
   27.02	9.67017e-11
   27.06	7.16233e-11
    27.1	6.72641e-11
   27.14	7.88584e-11
   27.18	7.8125e-11
   27.22	6.11719e-11
   27.26	7.48972e-11
    27.3	7.35732e-11
   27.34	6.77956e-11
   27.38	6.35341e-11
   27.42	6.82219e-11
   27.46	7.34826e-11
    27.5	7.98556e-11
   27.54	9.26502e-11
   27.58	6.68915e-11
   27.62	5.26676e-11
   27.66	8.25933e-11
    27.7	5.53683e-11
   27.74	5.15174e-11
   27.78	5.53699e-11
   27.82	5.70192e-11
   27.86	4.5983e-11
    27.9	4.84955e-11
   27.94	4.80404e-11
   27.98	5.53699e-11
   28.02	4.94443e-11
   28.06	5.99693e-11
    28.1	4.19164e-11
   28.14	5.35983e-11
   28.18	5.31871e-11
   28.22	4.63164e-11
   28.26	4.85565e-11
    28.3	5.16062e-11
   28.34	5.15631e-11
   28.38	4.39556e-11
   28.42	4.60236e-11
   28.46	4.61484e-11
    28.5	5.34692e-11
   28.54	4.29588e-11
   28.58	3.50268e-11
   28.62	3.76932e-11
   28.66	3.74377e-11
    28.7	5.24767e-11
   28.74	4.43565e-11
   28.78	5.43224e-11
   28.82	4.66383e-11
   28.86	3.82551e-11
    28.9	3.1791e-11
   28.94	2.261e-11
   28.98	1.52932e-11
   29.02	3.44127e-11
   29.06	3.69991e-11
    29.1	3.45154e-11
   29.14	3.47601e-11
   29.18	3.55834e-11
   29.22	4.21397e-11
   29.26	5.21701e-11
    29.3	5.53844e-11
   29.34	3.19446e-11
   29.38	3.77713e-11
   29.42	2.99637e-11
   29.46	3.41513e-11
    29.5	3.04164e-11
   29.54	2.68902e-11
   29.58	3.54745e-11
   29.62	1.79709e-11
   29.66	2.26955e-11
    29.7	1.95076e-11
   29.74	2.74606e-11
   29.78	4.27979e-11
   29.82	2.3934e-11
   29.86	1.88836e-11
    29.9	1.68531e-11
   29.94	2.4707e-11
   29.98	3.59998e-11
   30.02	2.26112e-11
   30.06	2.23233e-11
    30.1	2.4445e-11
   30.14	1.62685e-11
   30.18	2.08807e-11
   30.22	2.60994e-11
   30.26	2.46817e-11
    30.3	2.10743e-11
   30.34	1.86933e-11
   30.38	2.2257e-11
   30.42	1.59704e-11
   30.46	1.77033e-11
    30.5	1.30988e-11
   30.54	1.82286e-11
   30.58	9.3766e-12
   30.62	1.16792e-11
   30.66	1.82613e-11
    30.7	7.20689e-12
   30.74	1.25466e-11
   30.78	1.69026e-11
   30.82	2.27095e-11
   30.86	1.22331e-11
    30.9	1.05199e-11
   30.94	1.3847e-11
   30.98	1.04228e-11
   31.02	2.1348e-11
   31.06	1.53617e-11
    31.1	1.66417e-11
   31.14	1.4264e-11
   31.18	1.91393e-11
   31.22	1.42333e-11
   31.26	1.06161e-11
    31.3	7.68959e-12
   31.34	6.99937e-12
   31.38	9.23905e-12
   31.42	1.07584e-11
   31.46	2.95312e-12
    31.5	3.81687e-12
   31.54	1.11319e-11
   31.58	1.05671e-11
   31.62	6.5054e-12
   31.66	5.42117e-12
    31.7	7.41482e-12
   31.74	5.4756e-12
   31.78	4.80967e-12
   31.82	8.86333e-12
   31.86	7.38109e-12
    31.9	3.19585e-12
   31.94	6.41605e-12
   31.98	2.85787e-12
   32.02	3.05149e-12
   32.06	3.80485e-12
    32.1	4.19488e-12
   32.14	3.30771e-12
   32.18	5.96293e-12
   32.22	4.20335e-12
   32.26	2.41291e-12
    32.3	6.07654e-12
   32.34	3.58181e-12
   32.38	4.00486e-12
   32.42	4.30831e-13
   32.46	1.9535e-13
    32.5	2.72817e-13
   32.54	2.4882e-12
   32.58	6.94211e-12
   32.62	3.1337e-12
   32.66	2.58573e-12
    32.7	1.61694e-12
   32.74	2.41949e-12
   32.78	6.01482e-12
   32.82	2.71345e-12
   32.86	1.79186e-12
    32.9	1.17899e-12
   32.94	2.04874e-12
   32.98	1.32467e-12
   33.02	1.13268e-12
   33.06	       0
    33.1	       0
   33.14	8.24629e-13
   33.18	1.38353e-12
   33.22	       0
   33.26	       0
    33.3	       0
   33.34	       0
   33.38	       0
   33.42	       0
   33.46	       0
    33.5	       0
   33.54	1.09783e-13
   33.58	2.04441e-12
   33.62	       0
   33.66	       0
    33.7	       0
   33.74	1.9889e-12
   33.78	1.44305e-13
   33.82	1.25968e-12
   33.86	1.14899e-12
    33.9	7.88069e-13
   33.94	1.03637e-12
   33.98	       0
   34.02	       0
   34.06	       0
    34.1	       0
   34.14	       0
   34.18	       0
   34.22	       0
   34.26	       0
    34.3	       0
   34.34	       0
   34.38	       0
   34.42	1.38989e-13
   34.46	5.54664e-13
    34.5	4.15034e-13
   34.54	4.83086e-13
   34.58	4.47542e-13
   34.62	       0
   34.66	       0
    34.7	       0
   34.74	       0
   34.78	       0
   34.82	       0
   34.86	       0
    34.9	       0
   34.94	       0
   34.98	       0
   35.02	       0
   35.06	       0
    35.1	       0
   35.14	       0
   35.18	       0
   35.22	       0
   35.26	       0
    35.3	       0
   35.34	       0
   35.38	       0
   35.42	       0
   35.46	       0
    35.5	       0
   35.54	       0
   35.58	       0
   35.62	       0
   35.66	       0
    35.7	       0
   35.74	       0
   35.78	       0
   35.82	       0
   35.86	       0
    35.9	       0
   35.94	       0
   35.98	       0
   36.02	       0
   36.06	       0
    36.1	       0
   36.14	       0
   36.18	       0
   36.22	       0
   36.26	       0
    36.3	       0
   36.34	       0
   36.38	       0
   36.42	       0
   36.46	       0
    36.5	       0
   36.54	       0
   36.58	       0
   36.62	       0
   36.66	       0
    36.7	       0
   36.74	       0
   36.78	       0
   36.82	       0
   36.86	       0
    36.9	       0
   36.94	       0
   36.98	       0
   37.02	       0
   37.06	       0
    37.1	       0
   37.14	       0
   37.18	       0
   37.22	       0
   37.26	       0
    37.3	       0
   37.34	       0
   37.38	       0
   37.42	       0
   37.46	       0
    37.5	       0
   37.54	       0
   37.58	       0
   37.62	       0
   37.66	       0
    37.7	       0
   37.74	       0
   37.78	       0
   37.82	       0
   37.86	       0
    37.9	       0
   37.94	       0
   37.98	       0
   38.02	       0
   38.06	       0
    38.1	       0
   38.14	       0
   38.18	       0
   38.22	       0
   38.26	       0
    38.3	       0
   38.34	       0
   38.38	       0
   38.42	       0
   38.46	       0
    38.5	       0
   38.54	       0
   38.58	       0
   38.62	       0
   38.66	       0
    38.7	       0
   38.74	       0
   38.78	       0
   38.82	       0
   38.86	       0
    38.9	       0
   38.94	       0
   38.98	       0
   39.02	       0
   39.06	       0
    39.1	       0
   39.14	       0
   39.18	       0
   39.22	       0
   39.26	       0
    39.3	       0
   39.34	       0
   39.38	       0
   39.42	       0
   39.46	       0
    39.5	       0
   39.54	       0
   39.58	       0
   39.62	       0
   39.66	       0
    39.7	       0
   39.74	       0
   39.78	       0
   39.82	       0
   39.86	       0
    39.9	       0
   39.94	       0
   39.98	       0
