Distance between particles 	 RDF
    0.02	       0
    0.06	       0
     0.1	       0
    0.14	       0
    0.18	       0
    0.22	       0
    0.26	       0
     0.3	       0
    0.34	       0
    0.38	       0
    0.42	       0
    0.46	       0
     0.5	       0
    0.54	       0
    0.58	       0
    0.62	       0
    0.66	       0
     0.7	       0
    0.74	       0
    0.78	       0
    0.82	       0
    0.86	       0
     0.9	       0
    0.94	       0
    0.98	       0
    1.02	       0
    1.06	9.11716e-10
     1.1	8.44715e-10
    1.14	1.98323e-10
    1.18	       0
    1.22	       0
    1.26	       0
     1.3	       0
    1.34	1.02195e-10
    1.38	4.03674e-10
    1.42	4.93627e-10
    1.46	1.69166e-10
     1.5	       0
    1.54	       0
    1.58	       0
    1.62	       0
    1.66	       0
     1.7	4.43724e-14
    1.74	1.69423e-13
    1.78	3.64263e-13
    1.82	3.09713e-13
    1.86	5.18938e-13
     1.9	3.90751e-13
    1.94	5.11096e-13
    1.98	8.17759e-13
    2.02	1.01292e-10
    2.06	2.1232e-10
     2.1	2.49672e-10
    2.14	3.09115e-10
    2.18	1.8994e-10
    2.22	1.53e-11
    2.26	1.87804e-11
     2.3	2.45569e-11
    2.34	7.50379e-11
    2.38	1.32939e-10
    2.42	1.50259e-10
    2.46	1.25917e-10
     2.5	8.5233e-11
    2.54	2.36538e-11
    2.58	1.28116e-11
    2.62	4.7676e-11
    2.66	3.25511e-11
     2.7	3.03448e-11
    2.74	2.9619e-11
    2.78	2.56035e-11
    2.82	7.45341e-11
    2.86	2.88162e-11
     2.9	1.38152e-11
    2.94	9.05021e-12
    2.98	1.04263e-11
    3.02	1.17267e-11
    3.06	1.39284e-11
     3.1	1.83887e-11
    3.14	2.25795e-11
    3.18	2.89899e-11
    3.22	3.74267e-11
    3.26	5.52294e-11
     3.3	7.85458e-11
    3.34	9.35053e-11
    3.38	8.73877e-11
    3.42	5.11914e-11
    3.46	2.11349e-11
     3.5	1.44258e-11
    3.54	1.47054e-11
    3.58	1.65599e-11
    3.62	1.87501e-11
    3.66	2.21049e-11
     3.7	2.54608e-11
    3.74	3.17036e-11
    3.78	3.70046e-11
    3.82	4.05575e-11
    3.86	4.07628e-11
     3.9	2.89195e-11
    3.94	1.88269e-11
    3.98	1.89847e-11
    4.02	2.19179e-11
    4.06	2.48724e-11
     4.1	2.76546e-11
    4.14	2.99735e-11
    4.18	3.09145e-11
    4.22	2.97768e-11
    4.26	2.71921e-11
     4.3	2.21804e-11
    4.34	1.52305e-11
    4.38	1.51809e-11
    4.42	1.49467e-11
    4.46	1.55373e-11
     4.5	1.63072e-11
    4.54	1.64131e-11
    4.58	1.69713e-11
    4.62	1.84512e-11
    4.66	1.79645e-11
     4.7	1.91868e-11
    4.74	1.99203e-11
    4.78	2.04976e-11
    4.82	2.13345e-11
    4.86	2.1278e-11
     4.9	2.16103e-11
    4.94	1.99743e-11
    4.98	1.72658e-11
    5.02	1.59841e-11
    5.06	1.70347e-11
     5.1	1.65861e-11
    5.14	1.61688e-11
    5.18	1.67134e-11
    5.22	1.62464e-11
    5.26	1.69458e-11
     5.3	1.7805e-11
    5.34	1.74988e-11
    5.38	1.71288e-11
    5.42	1.72392e-11
    5.46	1.67897e-11
     5.5	1.77122e-11
    5.54	1.7708e-11
    5.58	1.82541e-11
    5.62	1.86367e-11
    5.66	1.91908e-11
     5.7	1.80738e-11
    5.74	1.8753e-11
    5.78	1.97381e-11
    5.82	1.90096e-11
    5.86	1.87659e-11
     5.9	1.90207e-11
    5.94	1.94814e-11
    5.98	2.05593e-11
    6.02	1.94979e-11
    6.06	2.00271e-11
     6.1	2.00513e-11
    6.14	2.02467e-11
    6.18	2.04992e-11
    6.22	2.03624e-11
    6.26	2.05644e-11
     6.3	2.054e-11
    6.34	2.06804e-11
    6.38	2.05353e-11
    6.42	2.11452e-11
    6.46	2.12099e-11
     6.5	2.13777e-11
    6.54	2.18905e-11
    6.58	2.1406e-11
    6.62	2.13793e-11
    6.66	2.11984e-11
     6.7	2.10746e-11
    6.74	2.0413e-11
    6.78	2.08592e-11
    6.82	2.09543e-11
    6.86	2.17135e-11
     6.9	2.21359e-11
    6.94	2.153e-11
    6.98	2.12682e-11
    7.02	2.15547e-11
    7.06	2.1499e-11
     7.1	2.15754e-11
    7.14	2.16765e-11
    7.18	2.19481e-11
    7.22	2.23181e-11
    7.26	2.245e-11
     7.3	2.17306e-11
    7.34	2.15967e-11
    7.38	2.13279e-11
    7.42	2.1271e-11
    7.46	2.15666e-11
     7.5	2.20029e-11
    7.54	2.2061e-11
    7.58	2.24582e-11
    7.62	2.19912e-11
    7.66	2.24855e-11
     7.7	2.18545e-11
    7.74	2.22093e-11
    7.78	2.22655e-11
    7.82	2.2055e-11
    7.86	2.23231e-11
     7.9	2.17092e-11
    7.94	2.21847e-11
    7.98	2.21361e-11
    8.02	2.21212e-11
    8.06	2.21094e-11
     8.1	2.15652e-11
    8.14	2.22402e-11
    8.18	2.21976e-11
    8.22	2.25116e-11
    8.26	2.25103e-11
     8.3	2.23404e-11
    8.34	2.21948e-11
    8.38	2.21843e-11
    8.42	2.21586e-11
    8.46	2.22685e-11
     8.5	2.21339e-11
    8.54	2.23385e-11
    8.58	2.21952e-11
    8.62	2.19413e-11
    8.66	2.18913e-11
     8.7	2.16464e-11
    8.74	2.20817e-11
    8.78	2.23118e-11
    8.82	2.23571e-11
    8.86	2.25707e-11
     8.9	2.16429e-11
    8.94	2.22584e-11
    8.98	2.19349e-11
    9.02	2.16588e-11
    9.06	2.14243e-11
     9.1	2.15228e-11
    9.14	2.21914e-11
    9.18	2.20837e-11
    9.22	2.21882e-11
    9.26	2.21584e-11
     9.3	2.21017e-11
    9.34	2.20436e-11
    9.38	2.23326e-11
    9.42	2.24801e-11
    9.46	2.22259e-11
     9.5	2.20121e-11
    9.54	2.2579e-11
    9.58	2.25082e-11
    9.62	2.24045e-11
    9.66	2.17961e-11
     9.7	2.23105e-11
    9.74	2.23466e-11
    9.78	2.26669e-11
    9.82	2.28018e-11
    9.86	2.2418e-11
     9.9	2.22359e-11
    9.94	2.2117e-11
    9.98	2.18113e-11
   10.02	2.21778e-11
   10.06	2.20348e-11
    10.1	2.23194e-11
   10.14	2.21063e-11
   10.18	2.24242e-11
   10.22	2.25829e-11
   10.26	2.24011e-11
    10.3	2.25188e-11
   10.34	2.23797e-11
   10.38	2.20933e-11
   10.42	2.17385e-11
   10.46	2.22641e-11
    10.5	2.17389e-11
   10.54	2.18489e-11
   10.58	2.18318e-11
   10.62	2.22305e-11
   10.66	2.19286e-11
    10.7	2.16148e-11
   10.74	2.20356e-11
   10.78	2.23524e-11
   10.82	2.1861e-11
   10.86	2.22451e-11
    10.9	2.22375e-11
   10.94	2.22059e-11
   10.98	2.16232e-11
   11.02	2.1608e-11
   11.06	2.16554e-11
    11.1	2.17327e-11
   11.14	2.18663e-11
   11.18	2.14136e-11
   11.22	2.20171e-11
   11.26	2.16192e-11
    11.3	2.13599e-11
   11.34	2.11606e-11
   11.38	2.15251e-11
   11.42	2.14562e-11
   11.46	2.14053e-11
    11.5	2.1405e-11
   11.54	2.1696e-11
   11.58	2.11877e-11
   11.62	2.12701e-11
   11.66	2.16215e-11
    11.7	2.1636e-11
   11.74	2.16618e-11
   11.78	2.16351e-11
   11.82	2.17652e-11
   11.86	2.17381e-11
    11.9	2.15342e-11
   11.94	2.19317e-11
   11.98	2.16372e-11
   12.02	2.16425e-11
   12.06	2.17796e-11
    12.1	2.15377e-11
   12.14	2.12925e-11
   12.18	2.12929e-11
   12.22	2.1304e-11
   12.26	2.14579e-11
    12.3	2.14415e-11
   12.34	2.15882e-11
   12.38	2.15736e-11
   12.42	2.16493e-11
   12.46	2.10926e-11
    12.5	2.11622e-11
   12.54	2.17777e-11
   12.58	2.18922e-11
   12.62	2.17883e-11
   12.66	2.15684e-11
    12.7	2.15878e-11
   12.74	2.17006e-11
   12.78	2.20918e-11
   12.82	2.14009e-11
   12.86	2.15975e-11
    12.9	2.12057e-11
   12.94	2.14133e-11
   12.98	2.13698e-11
   13.02	2.16321e-11
   13.06	2.14968e-11
    13.1	2.1699e-11
   13.14	2.1732e-11
   13.18	2.14282e-11
   13.22	2.15079e-11
   13.26	2.11303e-11
    13.3	2.13413e-11
   13.34	2.11998e-11
   13.38	2.11943e-11
   13.42	2.13195e-11
   13.46	2.14443e-11
    13.5	2.12322e-11
   13.54	2.13e-11
   13.58	2.11671e-11
   13.62	2.09268e-11
   13.66	2.06374e-11
    13.7	2.08785e-11
   13.74	2.1003e-11
   13.78	2.11534e-11
   13.82	2.1107e-11
   13.86	2.13232e-11
    13.9	2.09478e-11
   13.94	2.10844e-11
   13.98	2.12769e-11
   14.02	2.07845e-11
   14.06	2.11082e-11
    14.1	2.11892e-11
   14.14	2.12029e-11
   14.18	2.12799e-11
   14.22	2.11692e-11
   14.26	2.10266e-11
    14.3	2.08358e-11
   14.34	2.09835e-11
   14.38	2.11243e-11
   14.42	2.08969e-11
   14.46	2.10893e-11
    14.5	2.10238e-11
   14.54	2.12783e-11
   14.58	2.1035e-11
   14.62	2.09944e-11
   14.66	2.08908e-11
    14.7	2.08395e-11
   14.74	2.12974e-11
   14.78	2.11505e-11
   14.82	2.15474e-11
   14.86	2.13851e-11
    14.9	2.16401e-11
   14.94	2.17278e-11
   14.98	2.17994e-11
   15.02	2.16726e-11
   15.06	2.13597e-11
    15.1	2.15308e-11
   15.14	2.14759e-11
   15.18	2.13912e-11
   15.22	2.1336e-11
   15.26	2.14908e-11
    15.3	2.15813e-11
   15.34	2.16035e-11
   15.38	2.16545e-11
   15.42	2.16054e-11
   15.46	2.144e-11
    15.5	2.15975e-11
   15.54	2.13001e-11
   15.58	2.13403e-11
   15.62	2.1351e-11
   15.66	2.13749e-11
    15.7	2.09467e-11
   15.74	2.11292e-11
   15.78	2.12694e-11
   15.82	2.10754e-11
   15.86	2.11839e-11
    15.9	2.13442e-11
   15.94	2.13473e-11
   15.98	2.16061e-11
   16.02	2.17148e-11
   16.06	2.16719e-11
    16.1	2.20145e-11
   16.14	2.19887e-11
   16.18	2.19742e-11
   16.22	2.18606e-11
   16.26	2.21417e-11
    16.3	2.1842e-11
   16.34	2.16896e-11
   16.38	2.17797e-11
   16.42	2.19078e-11
   16.46	2.18895e-11
    16.5	2.17434e-11
   16.54	2.20626e-11
   16.58	2.19111e-11
   16.62	2.17992e-11
   16.66	2.18591e-11
    16.7	2.21003e-11
   16.74	2.20887e-11
   16.78	2.19174e-11
   16.82	2.16828e-11
   16.86	2.1788e-11
    16.9	2.17007e-11
   16.94	2.17628e-11
   16.98	2.20558e-11
   17.02	2.22856e-11
   17.06	2.2183e-11
    17.1	2.20938e-11
   17.14	2.22501e-11
   17.18	2.22544e-11
   17.22	2.19063e-11
   17.26	2.16172e-11
    17.3	2.16767e-11
   17.34	2.19671e-11
   17.38	2.20126e-11
   17.42	2.21711e-11
   17.46	2.21811e-11
    17.5	2.23918e-11
   17.54	2.22635e-11
   17.58	2.20735e-11
   17.62	2.17008e-11
   17.66	2.18925e-11
    17.7	2.18243e-11
   17.74	2.17322e-11
   17.78	2.16369e-11
   17.82	2.15787e-11
   17.86	2.1661e-11
    17.9	2.20262e-11
   17.94	2.19121e-11
   17.98	2.19619e-11
   18.02	2.19858e-11
   18.06	2.17918e-11
    18.1	2.19492e-11
   18.14	2.19211e-11
   18.18	2.22411e-11
   18.22	2.20354e-11
   18.26	2.2127e-11
    18.3	2.20174e-11
   18.34	2.20305e-11
   18.38	2.18155e-11
   18.42	2.18274e-11
   18.46	2.18225e-11
    18.5	2.19452e-11
   18.54	2.17615e-11
   18.58	2.15568e-11
   18.62	2.15723e-11
   18.66	2.15664e-11
    18.7	2.13356e-11
   18.74	2.14331e-11
   18.78	2.14808e-11
   18.82	2.14699e-11
   18.86	2.18372e-11
    18.9	2.19761e-11
   18.94	2.18919e-11
   18.98	2.17713e-11
   19.02	2.18042e-11
   19.06	2.16253e-11
    19.1	2.17236e-11
   19.14	2.1426e-11
   19.18	2.16602e-11
   19.22	2.13782e-11
   19.26	2.13475e-11
    19.3	2.17053e-11
   19.34	2.16897e-11
   19.38	2.15118e-11
   19.42	2.14093e-11
   19.46	2.13238e-11
    19.5	2.13679e-11
   19.54	2.11207e-11
   19.58	2.13455e-11
   19.62	2.11437e-11
   19.66	2.12435e-11
    19.7	2.13391e-11
   19.74	2.12273e-11
   19.78	2.10993e-11
   19.82	2.12032e-11
   19.86	2.09316e-11
    19.9	2.09415e-11
   19.94	2.12349e-11
   19.98	2.12412e-11
   20.02	2.10863e-11
   20.06	2.11454e-11
    20.1	2.11508e-11
   20.14	2.08288e-11
   20.18	2.07936e-11
   20.22	2.0701e-11
   20.26	2.0705e-11
    20.3	2.04508e-11
   20.34	2.06342e-11
   20.38	2.01062e-11
   20.42	2.0101e-11
   20.46	1.97995e-11
    20.5	1.95105e-11
   20.54	1.93096e-11
   20.58	1.95974e-11
   20.62	1.94916e-11
   20.66	1.93792e-11
    20.7	1.9378e-11
   20.74	1.93809e-11
   20.78	1.90414e-11
   20.82	1.87719e-11
   20.86	1.86354e-11
    20.9	1.86819e-11
   20.94	1.85389e-11
   20.98	1.85126e-11
   21.02	1.82387e-11
   21.06	1.8179e-11
    21.1	1.79077e-11
   21.14	1.77837e-11
   21.18	1.78147e-11
   21.22	1.77444e-11
   21.26	1.76193e-11
    21.3	1.74364e-11
   21.34	1.7508e-11
   21.38	1.72619e-11
   21.42	1.70678e-11
   21.46	1.69844e-11
    21.5	1.68195e-11
   21.54	1.66838e-11
   21.58	1.65766e-11
   21.62	1.65282e-11
   21.66	1.65965e-11
    21.7	1.65084e-11
   21.74	1.62768e-11
   21.78	1.60616e-11
   21.82	1.58824e-11
   21.86	1.57097e-11
    21.9	1.58754e-11
   21.94	1.57589e-11
   21.98	1.55524e-11
   22.02	1.55669e-11
   22.06	1.54601e-11
    22.1	1.53044e-11
   22.14	1.53947e-11
   22.18	1.5395e-11
   22.22	1.51326e-11
   22.26	1.50785e-11
    22.3	1.5017e-11
   22.34	1.48625e-11
   22.38	1.4803e-11
   22.42	1.46127e-11
   22.46	1.45104e-11
    22.5	1.44576e-11
   22.54	1.46403e-11
   22.58	1.42336e-11
   22.62	1.39547e-11
   22.66	1.39812e-11
    22.7	1.38976e-11
   22.74	1.38346e-11
   22.78	1.38291e-11
   22.82	1.36299e-11
   22.86	1.35167e-11
    22.9	1.33644e-11
   22.94	1.34779e-11
   22.98	1.3443e-11
   23.02	1.31986e-11
   23.06	1.2978e-11
    23.1	1.28658e-11
   23.14	1.28266e-11
   23.18	1.2795e-11
   23.22	1.2712e-11
   23.26	1.27157e-11
    23.3	1.2553e-11
   23.34	1.24865e-11
   23.38	1.23432e-11
   23.42	1.22283e-11
   23.46	1.22086e-11
    23.5	1.20727e-11
   23.54	1.18887e-11
   23.58	1.19326e-11
   23.62	1.17221e-11
   23.66	1.15416e-11
    23.7	1.14112e-11
   23.74	1.14153e-11
   23.78	1.1322e-11
   23.82	1.12379e-11
   23.86	1.12607e-11
    23.9	1.11592e-11
   23.94	1.10898e-11
   23.98	1.11072e-11
   24.02	1.10338e-11
   24.06	1.08339e-11
    24.1	1.07138e-11
   24.14	1.05227e-11
   24.18	1.04237e-11
   24.22	1.05242e-11
   24.26	1.03657e-11
    24.3	1.02626e-11
   24.34	1.02336e-11
   24.38	1.02314e-11
   24.42	1.01476e-11
   24.46	1.00072e-11
    24.5	1.00337e-11
   24.54	9.9095e-12
   24.58	9.85222e-12
   24.62	9.69351e-12
   24.66	9.60346e-12
    24.7	9.63859e-12
   24.74	9.32438e-12
   24.78	9.28721e-12
   24.82	9.16299e-12
   24.86	9.10593e-12
    24.9	9.0345e-12
   24.94	8.90617e-12
   24.98	8.7484e-12
   25.02	8.70775e-12
   25.06	8.60605e-12
    25.1	8.51127e-12
   25.14	8.4773e-12
   25.18	8.50804e-12
   25.22	8.38611e-12
   25.26	8.26973e-12
    25.3	8.1847e-12
   25.34	7.91302e-12
   25.38	7.866e-12
   25.42	7.97721e-12
   25.46	7.86888e-12
    25.5	7.75526e-12
   25.54	7.57921e-12
   25.58	7.5961e-12
   25.62	7.49757e-12
   25.66	7.37507e-12
    25.7	7.49853e-12
   25.74	7.37634e-12
   25.78	7.14931e-12
   25.82	7.05466e-12
   25.86	7.04359e-12
    25.9	7.05416e-12
   25.94	6.85079e-12
   25.98	6.72712e-12
   26.02	6.54204e-12
   26.06	6.47872e-12
    26.1	6.36682e-12
   26.14	6.36518e-12
   26.18	6.23704e-12
   26.22	6.25925e-12
   26.26	6.15223e-12
    26.3	6.05288e-12
   26.34	5.92712e-12
   26.38	5.88225e-12
   26.42	5.89128e-12
   26.46	5.75222e-12
    26.5	5.74363e-12
   26.54	5.62711e-12
   26.58	5.48911e-12
   26.62	5.36441e-12
   26.66	5.32667e-12
    26.7	5.23517e-12
   26.74	5.16607e-12
   26.78	5.08842e-12
   26.82	5.031e-12
   26.86	4.9092e-12
    26.9	4.86678e-12
   26.94	4.80234e-12
   26.98	4.72697e-12
   27.02	4.59056e-12
   27.06	4.58418e-12
    27.1	4.54027e-12
   27.14	4.50148e-12
   27.18	4.45022e-12
   27.22	4.34698e-12
   27.26	4.30748e-12
    27.3	4.17975e-12
   27.34	4.13682e-12
   27.38	4.10969e-12
   27.42	4.10709e-12
   27.46	3.91128e-12
    27.5	3.83937e-12
   27.54	3.87304e-12
   27.58	3.77785e-12
   27.62	3.76591e-12
   27.66	3.65227e-12
    27.7	3.50953e-12
   27.74	3.47058e-12
   27.78	3.34743e-12
   27.82	3.28661e-12
   27.86	3.22167e-12
    27.9	3.13368e-12
   27.94	3.0117e-12
   27.98	2.97868e-12
   28.02	2.97558e-12
   28.06	2.91709e-12
    28.1	2.89986e-12
   28.14	2.85e-12
   28.18	2.74276e-12
   28.22	2.668e-12
   28.26	2.58611e-12
    28.3	2.52468e-12
   28.34	2.50974e-12
   28.38	2.48913e-12
   28.42	2.42275e-12
   28.46	2.35419e-12
    28.5	2.36701e-12
   28.54	2.28701e-12
   28.58	2.29302e-12
   28.62	2.15886e-12
   28.66	2.1444e-12
    28.7	2.0774e-12
   28.74	2.00781e-12
   28.78	1.97514e-12
   28.82	1.99436e-12
   28.86	1.95851e-12
    28.9	1.92514e-12
   28.94	1.86256e-12
   28.98	1.83207e-12
   29.02	1.7655e-12
   29.06	1.74334e-12
    29.1	1.70583e-12
   29.14	1.70886e-12
   29.18	1.66517e-12
   29.22	1.68074e-12
   29.26	1.61398e-12
    29.3	1.55132e-12
   29.34	1.53905e-12
   29.38	1.53872e-12
   29.42	1.47246e-12
   29.46	1.44408e-12
    29.5	1.40083e-12
   29.54	1.3553e-12
   29.58	1.34606e-12
   29.62	1.34579e-12
   29.66	1.31316e-12
    29.7	1.31456e-12
   29.74	1.26565e-12
   29.78	1.20354e-12
   29.82	1.20983e-12
   29.86	1.16488e-12
    29.9	1.14714e-12
   29.94	1.09228e-12
   29.98	1.07724e-12
   30.02	1.05104e-12
   30.06	1.00936e-12
    30.1	1.00271e-12
   30.14	9.58265e-13
   30.18	9.33762e-13
   30.22	9.47722e-13
   30.26	8.84575e-13
    30.3	9.04032e-13
   30.34	8.65427e-13
   30.38	8.42308e-13
   30.42	8.3164e-13
   30.46	8.05407e-13
    30.5	7.79033e-13
   30.54	7.3877e-13
   30.58	7.55352e-13
   30.62	7.20006e-13
   30.66	7.16627e-13
    30.7	7.06189e-13
   30.74	6.64181e-13
   30.78	6.83572e-13
   30.82	6.74104e-13
   30.86	6.26303e-13
    30.9	5.96343e-13
   30.94	5.91721e-13
   30.98	5.95138e-13
   31.02	5.70548e-13
   31.06	5.27472e-13
    31.1	5.23994e-13
   31.14	5.0215e-13
   31.18	4.74613e-13
   31.22	4.47872e-13
   31.26	4.64312e-13
    31.3	4.44538e-13
   31.34	4.45493e-13
   31.38	4.30033e-13
   31.42	3.95683e-13
   31.46	3.77186e-13
    31.5	3.6731e-13
   31.54	3.63285e-13
   31.58	3.54136e-13
   31.62	3.37207e-13
   31.66	3.46719e-13
    31.7	3.11771e-13
   31.74	3.00802e-13
   31.78	3.02711e-13
   31.82	2.96885e-13
   31.86	2.8818e-13
    31.9	2.64522e-13
   31.94	2.65997e-13
   31.98	2.62071e-13
   32.02	2.56164e-13
   32.06	2.24832e-13
    32.1	2.35224e-13
   32.14	2.11672e-13
   32.18	2.07678e-13
   32.22	2.02963e-13
   32.26	1.95313e-13
    32.3	1.93969e-13
   32.34	1.66146e-13
   32.38	1.59253e-13
   32.42	1.66913e-13
   32.46	1.58104e-13
    32.5	1.50673e-13
   32.54	1.35648e-13
   32.58	1.40752e-13
   32.62	1.40407e-13
   32.66	1.31046e-13
    32.7	1.06979e-13
   32.74	1.01813e-13
   32.78	9.15393e-14
   32.82	9.25069e-14
   32.86	8.39682e-14
    32.9	9.13467e-14
   32.94	8.07242e-14
   32.98	7.91137e-14
   33.02	7.50407e-14
   33.06	7.88486e-14
    33.1	7.26885e-14
   33.14	6.69083e-14
   33.18	6.16216e-14
   33.22	6.72837e-14
   33.26	5.76159e-14
    33.3	4.42936e-14
   33.34	4.67255e-14
   33.38	3.94777e-14
   33.42	3.58238e-14
   33.46	3.276e-14
    33.5	3.26819e-14
   33.54	2.7246e-14
   33.58	2.7636e-14
   33.62	2.50742e-14
   33.66	2.33168e-14
    33.7	1.77284e-14
   33.74	1.46448e-14
   33.78	1.58464e-14
   33.82	1.54726e-14
   33.86	1.10737e-14
    33.9	9.59687e-15
   33.94	9.3516e-15
   33.98	9.88493e-15
   34.02	7.31317e-15
   34.06	5.96946e-15
    34.1	4.30117e-15
   34.14	2.86073e-15
   34.18	3.62243e-15
   34.22	3.50445e-15
   34.26	3.60553e-15
    34.3	2.94311e-15
   34.34	2.93625e-15
   34.38	1.41046e-15
   34.42	1.29894e-15
   34.46	8.63952e-16
    34.5	7.54206e-16
   34.54	3.22483e-16
   34.58	       0
   34.62	       0
   34.66	       0
    34.7	       0
   34.74	       0
   34.78	       0
   34.82	       0
   34.86	       0
    34.9	       0
   34.94	       0
   34.98	       0
   35.02	       0
   35.06	       0
    35.1	       0
   35.14	       0
   35.18	       0
   35.22	       0
   35.26	       0
    35.3	       0
   35.34	       0
   35.38	       0
   35.42	       0
   35.46	       0
    35.5	       0
   35.54	       0
   35.58	       0
   35.62	       0
   35.66	       0
    35.7	       0
   35.74	       0
   35.78	       0
   35.82	       0
   35.86	       0
    35.9	       0
   35.94	       0
   35.98	       0
   36.02	       0
   36.06	       0
    36.1	       0
   36.14	       0
   36.18	       0
   36.22	       0
   36.26	       0
    36.3	       0
   36.34	       0
   36.38	       0
   36.42	       0
   36.46	       0
    36.5	       0
   36.54	       0
   36.58	       0
   36.62	       0
   36.66	       0
    36.7	       0
   36.74	       0
   36.78	       0
   36.82	       0
   36.86	       0
    36.9	       0
   36.94	       0
   36.98	       0
   37.02	       0
   37.06	       0
    37.1	       0
   37.14	       0
   37.18	       0
   37.22	       0
   37.26	       0
    37.3	       0
   37.34	       0
   37.38	       0
   37.42	       0
   37.46	       0
    37.5	       0
   37.54	       0
   37.58	       0
   37.62	       0
   37.66	       0
    37.7	       0
   37.74	       0
   37.78	       0
   37.82	       0
   37.86	       0
    37.9	       0
   37.94	       0
   37.98	       0
   38.02	       0
   38.06	       0
    38.1	       0
   38.14	       0
   38.18	       0
   38.22	       0
   38.26	       0
    38.3	       0
   38.34	       0
   38.38	       0
   38.42	       0
   38.46	       0
    38.5	       0
   38.54	       0
   38.58	       0
   38.62	       0
   38.66	       0
    38.7	       0
   38.74	       0
   38.78	       0
   38.82	       0
   38.86	       0
    38.9	       0
   38.94	       0
   38.98	       0
   39.02	       0
   39.06	       0
    39.1	       0
   39.14	       0
   39.18	       0
   39.22	       0
   39.26	       0
    39.3	       0
   39.34	       0
   39.38	       0
   39.42	       0
   39.46	       0
    39.5	       0
   39.54	       0
   39.58	       0
   39.62	       0
   39.66	       0
    39.7	       0
   39.74	       0
   39.78	       0
   39.82	       0
   39.86	       0
    39.9	       0
   39.94	       0
   39.98	       0
