Time 	 TE 	 KE 	 PE 	 X momentum 	 Y momentum 	 Z momentum 	 Temperature
       0	 57476.2	 60224.2	   -2748	-3817.08	 2350.86	  8754.1	 33.4579
4.87827e-05	 57476.2	 60225.2	   -2749	-3817.08	 2350.86	  8754.1	 33.4584
0.000313624	 57476.2	 60224.2	   -2748	-3817.08	 2350.86	  8754.1	 33.4579
0.000318079	 57476.2	 60223.2	   -2747	-3817.08	 2350.86	  8754.1	 33.4573
0.000322728	 57476.2	 60222.2	   -2746	-3817.08	 2350.86	  8754.1	 33.4568
0.000327586	 57476.2	 60221.2	   -2745	-3817.08	 2350.86	  8754.1	 33.4562
0.00033267	 57476.2	 60220.2	   -2744	-3817.08	 2350.86	  8754.1	 33.4557
0.000337997	 57476.2	 60219.2	   -2743	-3817.08	 2350.86	  8754.1	 33.4551
0.000343587	 57476.2	 60218.2	   -2742	-3817.08	 2350.86	  8754.1	 33.4546
0.000349463	 57476.2	 60217.2	   -2741	-3817.08	 2350.86	  8754.1	  33.454
0.000355649	 57468.5	 60208.5	   -2740	-1360.91	-201.138	 4594.28	 33.4492
0.000362175	 57468.5	 60207.5	   -2739	-1360.91	-201.138	 4594.28	 33.4486
0.000369072	 57468.5	 60206.5	   -2738	-1360.91	-201.138	 4594.28	 33.4481
0.000376376	 57468.5	 60205.5	   -2737	-1360.91	-201.138	 4594.28	 33.4475
0.00038413	 57468.5	 60204.5	   -2736	-1360.91	-201.138	 4594.28	  33.447
0.00039238	 57468.5	 60203.5	   -2735	-1360.91	-201.138	 4594.28	 33.4464
0.000401184	 57468.5	 60202.5	   -2734	-1360.91	-201.138	 4594.28	 33.4458
0.000410603	 57468.5	 60201.5	   -2733	-1360.91	-201.138	 4594.28	 33.4453
0.000420715	 57468.5	 60200.5	   -2732	-1360.91	-201.138	 4594.28	 33.4447
0.000431607	 57468.5	 60199.5	   -2731	-1360.91	-201.138	 4594.28	 33.4442
0.000443386	 57601.3	 60331.3	   -2730	-1354.82	-229.825	 4594.02	 33.5174
0.000456177	 57601.3	 60330.3	   -2729	-1354.82	-229.825	 4594.02	 33.5169
0.000470134	 57601.3	 60329.3	   -2728	-1354.82	-229.825	 4594.02	 33.5163
0.000485445	 57601.3	 60328.3	   -2727	-1354.82	-229.825	 4594.02	 33.5157
0.000502342	 57601.3	 60327.3	   -2726	-1354.82	-229.825	 4594.02	 33.5152
0.000521117	 57601.3	 60326.3	   -2725	-1354.82	-229.825	 4594.02	 33.5146
0.000542145	 57601.3	 60325.3	   -2724	-1354.82	-229.825	 4594.02	 33.5141
0.000565912	 57601.3	 60324.3	   -2723	-1354.82	-229.825	 4594.02	 33.5135
0.000593064	 57601.3	 60323.3	   -2722	-1354.82	-229.825	 4594.02	  33.513
0.000624482	 57601.3	 60322.3	   -2721	-1354.82	-229.825	 4594.02	 33.5124
0.000661402	 57656.3	 60376.3	   -2720	-1361.61	 -196.61	 4592.02	 33.5424
0.000705626	 57656.3	 60375.3	   -2719	-1361.61	 -196.61	 4592.02	 33.5418
0.000759893	 57656.3	 60374.3	   -2718	-1361.61	 -196.61	 4592.02	 33.5413
0.000828623	 57656.3	 60373.3	   -2717	-1361.61	 -196.61	 4592.02	 33.5407
0.0009195	 57656.3	 60372.3	   -2716	-1361.61	 -196.61	 4592.02	 33.5402
0.00104735	 57656.3	 60371.3	   -2715	-1361.61	 -196.61	 4592.02	 33.5396
0.00105935	 57631.7	 60346.7	   -2715	-1361.61	 -196.61	 4592.02	 33.5259
0.0011385	 57639.2	 60355.2	   -2716	-1361.61	 -196.61	 4592.02	 33.5307
0.00124561	 57639.2	 60354.2	   -2715	-1361.61	 -196.61	 4592.02	 33.5301
0.0013344	 57644.5	 60359.5	   -2715	-1361.61	 -196.61	 4592.02	 33.5331
0.0013788	 57674.4	 60389.4	   -2715	-1361.17	-110.875	 4531.17	 33.5497
0.00138234	 57657.7	 60372.7	   -2715	-1361.17	-110.875	 4531.17	 33.5404
0.00141247	   57643	   60358	   -2715	-1361.17	-110.875	 4531.17	 33.5322
0.00153644	 57627.1	 60341.1	   -2714	-1361.17	-110.875	 4531.17	 33.5228
0.0015419	 57627.1	 60340.1	   -2713	-1361.17	-110.875	 4531.17	 33.5223
0.00154741	 57627.1	 60339.1	   -2712	-1361.17	-110.875	 4531.17	 33.5217
0.00155299	 57627.1	 60338.1	   -2711	-1361.17	-110.875	 4531.17	 33.5212
