Time 	 TE 	 KE 	 PE 	 X momentum 	 Y momentum 	 Z momentum 	 Temperature
       0	 2686.92	 5434.92	   -2748	 252.022	 176.418	 -228.53	  3.0194
0.000206357	 2686.92	 5435.92	   -2749	 252.022	 176.418	 -228.53	 3.01996
0.00248942	 2686.92	 5435.92	   -2749	 252.022	 176.418	 -228.53	 3.01996
0.004141	 2686.92	 5435.92	   -2749	 252.022	 176.418	 -228.53	 3.01996
0.00549554	 2686.92	 5435.92	   -2749	 252.022	 176.418	 -228.53	 3.01996
0.0055248	 2686.92	 5435.92	   -2749	 252.022	 176.418	 -228.53	 3.01996
0.00553095	 2686.92	 5434.92	   -2748	 252.022	 176.418	 -228.53	  3.0194
0.00553117	 2686.92	 5434.92	   -2748	 252.022	 176.418	 -228.53	  3.0194
0.00558655	 2686.92	 5434.92	   -2748	 252.022	 176.418	 -228.53	  3.0194
0.00559244	 2686.92	 5434.92	   -2748	 252.022	 176.418	 -228.53	  3.0194
0.00561854	 2681.42	 5429.42	   -2748	   263.2	 31.7071	-247.318	 3.01634
0.00563806	 2681.27	 5429.27	   -2748	   263.2	 31.7071	-247.318	 3.01626
0.00576619	 2681.54	 5429.54	   -2748	   263.2	 31.7071	-247.318	 3.01641
0.00593118	 2681.42	 5429.42	   -2748	   263.2	 31.7071	-247.318	 3.01634
0.00597388	 2681.41	 5429.41	   -2748	   263.2	 31.7071	-247.318	 3.01634
0.00601226	  2681.6	  5428.6	   -2747	   263.2	 31.7071	-247.318	 3.01589
0.00603352	 2681.62	 5427.62	   -2746	   263.2	 31.7071	-247.318	 3.01534
0.00614026	 2681.48	 5427.48	   -2746	   263.2	 31.7071	-247.318	 3.01527
0.00616417	 2681.44	 5427.44	   -2746	   263.2	 31.7071	-247.318	 3.01524
0.00622652	 2681.56	 5427.56	   -2746	   263.2	 31.7071	-247.318	 3.01531
0.00623142	 2679.41	 5424.41	   -2745	  193.06	 175.041	-269.989	 3.01356
0.00627597	 2679.39	 5424.39	   -2745	  193.06	 175.041	-269.989	 3.01355
0.00630869	 2679.32	 5424.32	   -2745	  193.06	 175.041	-269.989	 3.01351
